Cikkszám,Termék Név,Státusz,Nettó Ár,Bruttó Ár,Kategória,Rövid Leírás,Hosszú leírás,Kép link,Egység,Tömeg,Paraméter: Lemez állapota||text,Paraméter: Borító állapota||text,Paraméter: Label||text
Megsem-Mulik-El-VEQCD002,Váczi Eszter Quartet / Mégsem Múlik El VEQCD002,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Hungary, 2016<br /><br />0129",,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),VEQ Records
Late-For-The-Sky-P-10355Y,Jackson Browne / Late For The Sky P-10355Y,1,5952.15,5952.15,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1977<br /><br />0129",Yes there is OBI and Insert!,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Asylum Records
Service-YLR-28013,Yellow Magic Orchestra / Service YLR-28013,1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129",Yes there is an OBI! No Insert!,NaN,db,0.2,Near Mint (NM or M-),Very Good Plus (VG+),Alfa
Break-Out-PLR-28001,"Pointer Sisters, Pointer Sisters / Break Out = ブレイク ・ アウト PLR-28001",1,7936.2,7936.2,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Japan, 1983<br /><br />0129",There is Obi and an Insert!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),Planet (15)
Good-Vibes-BHM-1018-2,Mauri Sanchis / Good Vibes!!! BHM 1018-2,1,1587.24,1587.24,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2006<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),BHM Productions
The-Space-Between-none,Galen Weston / The Space Between none,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 2017<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),blujazz
Try-Livin-It-ESC,Hiram Bullock / Try Livin' It ESC/EFA 03686-2,1,1190.43,1190.43,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 2003<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),ESC Records
Low-Blow-03661-2,Victor Bailey / Low Blow 03661-2,1,1984.05,1984.05,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Jazz","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Germany, 1999<br /><br />0129",Karcmentes CD!,NaN,db,0.2,Near Mint (NM or M-),Near Mint (NM or M-),ESC Records
LArca-Di-No-1C-064-18-597,Franco Battiato / L'Arca Di Noè 1C 064-18 597,1,4761.72,4761.72,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Electronic","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in Europe, 1982<br /><br />0129",Insert van! ,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),Musikant
Nikaragua-8-45-176,Carlos Mejía Godoy y Los De Palacagüina / Nikaragua 8 45 176,1,2777.67,2777.67,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Rock","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in German Democratic Republic (GDR), 1979<br /><br />0129",,NaN,db,0.2,Very Good Plus (VG+),Near Mint (NM or M-),AMIGA
Back-Up-Off-Me-88561-1236-1,"Doctor Dré, Ed Lover / Back Up Off Me ! 88561-1236-1",1,3968.1,3968.1,"Használt bakelit/vinyl lemezek, CD-k és kazetták|Hip Hop","A lemez állapotát szemrevételezés alapján állapítottam meg. Kérem ennek tudatában vásároljon.<br /><br />Made in US, 1994<br /><br />0129",Új fóliát termék! ,NaN,db,0.2,Mint (M),Mint (M),Relativity
